City,Country,Local_Time,Temperature,Temperature_F
Singapore,Singapore,Thu 1:00 pm,90 °F,90
Brussels,Belgium,Thu 7:00 am,63 °F,63
La Paz,Bolivia,Thu 1:00 am,38 °F,38
Sofia,Bulgaria,Thu 8:00 am,60 °F,60
Bucharest,Romania,Thu 8:00 am,66 °F,66
Lagos,Nigeria,Thu 6:00 am,77 °F,77
St. John's,Canada,Thu 2:30 am,64 °F,64
Budapest,Hungary,Thu 7:00 am,63 °F,63
Lahore,Pakistan,Thu 10:00 am,95 °F,95
Stockholm,Sweden,Thu 7:00 am,48 °F,48
Buenos Aires,Argentina,Thu 2:00 am,57 °F,57
Las Vegas,Usa,Wed 10:00 pm,104 °F,104
Suva,Fiji,Thu 5:00 pm,79 °F,79
Cairo,Egypt,Thu 8:00 am,79 °F,79
Lima,Peru,Thu 12:00 midnight,71 °F,71
Sydney,Australia,Thu 3:00 pm,63 °F,63
Calgary,Canada,Wed 11:00 pm,75 °F,75
Lisbon,Portugal,Thu 6:00 am,63 °F,63
Taipei,Taiwan,Thu 1:00 pm,93 °F,93
Canberra,Australia,Thu 3:00 pm,61 °F,61
London,Uk,Thu 6:00 am,68 °F,68
Tallinn,Estonia,Thu 8:00 am,55 °F,55
Cape Town,South Africa,Thu 7:00 am,52 °F,52
Los Angeles,Usa,Wed 10:00 pm,79 °F,79
Tashkent,Uzbekistan,Thu 10:00 am,65 °F,65
Caracas,Venezuela,Thu 1:00 am,81 °F,81
Madrid,Spain,Thu 7:00 am,63 °F,63
Tegucigalpa,Honduras,Wed 11:00 pm,75 °F,75
Casablanca,Morocco,Thu 6:00 am,70 °F,70
Managua,Nicaragua,Wed 11:00 pm,82 °F,82
Tehran,Iran,Thu 8:30 am,88 °F,88
Chicago,Usa,Thu 12:00 midnight,74 °F,74
Manila,Philippines,Thu 1:00 pm,88 °F,88
Tokyo,Japan,Thu 2:00 pm,86 °F,86
Copenhagen,Denmark,Thu 7:00 am,57 °F,57
Melbourne,Australia,Thu 3:00 pm,61 °F,61
Toronto,Canada,Thu 1:00 am,68 °F,68
Dallas,Usa,Thu 12:00 midnight,88 °F,88
Mexico City,Mexico,Wed 11:00 pm,64 °F,64
Vancouver,Canada,Wed 10:00 pm,64 °F,64
Dar es Salaam,Tanzania,Thu 8:00 am,70 °F,70
Miami,Usa,Thu 1:00 am,84 °F,84
Vienna,Austria,Thu 7:00 am,61 °F,61
Darwin,Australia,Thu 2:30 pm,93 °F,93
Minneapolis,Usa,Thu 12:00 midnight,73 °F,73
Warsaw,Poland,Thu 7:00 am,55 °F,55
Denver,Usa,Wed 11:00 pm,63 °F,63
Minsk,Belarus,Thu 8:00 am,52 °F,52
Washington DC,Usa,Thu 1:00 am,76 °F,76
Detroit,Usa,Thu 1:00 am,71 °F,71
Montevideo,Uruguay,Thu 2:00 am,54 °F,54
Winnipeg,Canada,Thu 12:00 midnight,64 °F,64
Dhaka,Bangladesh,Thu 11:00 am,87 °F,87
Montréal,Canada,Thu 1:00 am,70 °F,70
Yangon,Myanmar,Thu 11:30 am,79 °F,79
Doha,Qatar,Thu 8:00 am,95 °F,95
Moscow,Russia,Thu 8:00 am,53 °F,53
Zagreb,Croatia,Thu 7:00 am,61 °F,61
Dubai,United Arab Emirates,Thu 9:00 am,100 °F,100
Mumbai,India,Thu 10:30 am,83 °F,83
Zürich,Switzerland,Thu 7:00 am,63 °F,63
Dublin,Ireland,Thu 6:00 am,61 °F,61
Nairobi,Kenya,Thu 8:00 am,57 °F,57
